decile1b,decile3,ID,decile1,sex,race,cluster,lsat,ugpa,zfygpa,DOB_yr,zgpa,fulltime,fam_inc,age,parttime,male,other,asian,black,hisp,tier,index6040,gpa,gender_male,race1_black,race1_hisp,race1_other,race1_white,race2_b white,race2_c other,indxgrp_b 400-460,indxgrp_c 460-520,indxgrp_d 520-580,indxgrp_e 580-640,indxgrp_f 640-700,indxgrp_g 700+,indxgrp2_b 400-460,indxgrp2_c 460-520,indxgrp2_d 520-580,indxgrp2_e 580-640,indxgrp2_f 640-700,indxgrp2_g 700-760,indxgrp2_h 760-820,indxgrp2_i 820+
0.6,0.6,-0.1391811150617646,0.6,-1.0,0.0,0.0,0.5714285714285714,-1.0,0.7362204724409449,-0.75,0.6728280961182994,0.0,0.0,0.75,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.12096774113228442,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.2,-0.8276456141637036,0.0,0.0,0.0,0.0,0.14285714285714285,-0.7999999999999998,0.09842519685039369,0.0,-0.20702402957486138,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.1653225762275621,-0.7999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.6,0.8,0.8926725559913493,0.6,0.0,0.0,0.0,0.2857142857142857,1.2000000000000002,0.8700787401574803,0.25,1.1090573012939002,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.7217742252747807,1.2000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.4,-0.2,-0.5163667021003628,-0.4,0.0,0.0,0.6666666666666666,1.0,0.20000000000000018,-0.3031496062992126,0.25,-0.066543438077634,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9435484007511719,0.20000000000000018,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.8,0.8,-0.7525750522341557,0.8,-1.0,0.0,0.0,0.2857142857142857,-1.0,0.9881889763779529,0.0,1.1238447319778189,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-0.12096774113228355,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.6,-0.8,0.4832300868736483,-0.6,0.0,0.0,-0.6666666666666666,0.0,-0.39999999999999947,-0.6259842519685038,0.0,-0.7393715341959335,0.0,0.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13306450528583397,-0.39999999999999947,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.4,-0.2,-0.2987793702576885,0.4,0.0,0.0,-0.6666666666666666,0.5714285714285714,-1.0,0.5551181102362205,0.0,-0.029574861367837338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12096774113228442,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2,0.4,-0.6274330119863641,0.2,0.0,0.0,0.0,-0.42857142857142855,-0.7999999999999998,0.21653543307086615,-0.75,0.5397412199630314,0.0,-1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.649193540756698,-0.7999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.0,-1.0,0.4037608592060408,-1.0,-1.0,1.0,0.6666666666666666,-0.8571428571428571,0.6000000000000005,-1.7519685039370079,-0.5,-1.1608133086876156,0.0,-2.0,0.5,0.0,-1.0,1.0,0.0,0.0,0.0,2.0,-0.4758064218945095,0.6000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.4,-0.2,-0.7900370221032953,-0.2,0.0,0.0,0.0,0.5714285714285714,-0.7999999999999998,-0.24015748031496068,0.0,-0.08872458410351201,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.19758064716929027,-0.7999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
