losses,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0006766043952666223,0.00012464312,-0.0003443373,-0.00019592507,-0.00035026926,-0.0003343766,-0.00016904692,-0.00028120214,-0.00032832456,-0.00036624848,-0.0001557967,6.246448e-06,-0.00026739336,3.963454e-06,-0.00026217452,-0.00025844958,3.1686675e-05,-0.00013795483,-0.000119444085,-0.00019229838,3.1957852e-06,-3.6547088e-05,-0.00036625928,-0.00021564981,-0.00036928384,-0.00034610956,-0.00019884578,-0.00027869164,-0.00031106255,-0.00037430564,-0.00019641328,-0.0001527016
0.0013512998120859265,0.00024946922,-0.00068730046,-0.0003912517,-0.00069911155,-0.0006673498,-0.00033726497,-0.00056094537,-0.00065507554,-0.0007309116,-0.00031078886,1.2849438e-05,-0.0005334995,8.004645e-06,-0.0005230154,-0.0005155874,6.33998e-05,-0.00027486827,-0.00023794401,-0.00038349908,6.617309e-06,-7.248818e-05,-0.0007311051,-0.00043071748,-0.0007370971,-0.00069080095,-0.00039699956,-0.00055613497,-0.000620764,-0.00074711605,-0.0003921569,-0.00030467176
0.002024098066613078,0.00037447875,-0.0010288984,-0.0005859843,-0.0010465363,-0.0009989287,-0.00050465995,-0.00083923974,-0.0009802638,-0.0010940002,-0.0004649824,1.9806437e-05,-0.00079832744,1.2122798e-05,-0.0007825318,-0.0007714223,9.5138676e-05,-0.00041074748,-0.00035550602,-0.0005736096,1.0262747e-05,-0.00010782751,-0.0010945472,-0.00064520736,-0.0011034496,-0.0010340831,-0.0005944666,-0.00083233905,-0.0009291142,-0.0011184416,-0.0005872359,-0.00045591616
0.0026950116734951735,0.0004996717,-0.0013691413,-0.0007801277,-0.0013925543,-0.0013291237,-0.0006712383,-0.0011160949,-0.0013039008,-0.0014555266,-0.0006183828,2.7114913e-05,-0.0010618856,1.6317132e-05,-0.0010407325,-0.0010259624,0.0001269026,-0.00054559927,-0.00047213671,-0.0007626383,1.4130275e-05,-0.00014256922,-0.001456596,-0.00085912435,-0.0014683525,-0.0013759672,-0.0007912528,-0.001107312,-0.0012361223,-0.0014882938,-0.0007816558,-0.0006064399
0.0033640519250184298,0.00062504853,-0.0017080385,-0.0009736861,-0.0017371748,-0.0016579442,-0.0008370057,-0.0013915219,-0.0016259975,-0.0018155009,-0.00077099644,3.4772384e-05,-0.0013241842,2.058686e-05,-0.0012976278,-0.0012792181,0.00015869095,-0.00067943125,-0.0005878422,-0.0009505925,1.821805e-05,-0.00017671761,-0.0018172611,-0.0010724724,-0.0018318151,-0.001716462,-0.0009873628,-0.0013810636,-0.0015417987,-0.001856683,-0.00097542175,-0.00075624883
0.004031232092529535,0.00075060944,-0.0020455983,-0.0011666636,-0.002080407,-0.001985399,-0.001001968,-0.00166553,-0.0019465648,-0.0021739337,-0.0009228288,4.2776304e-05,-0.0015852314,2.4931172e-05,-0.0015532263,-0.0015311977,0.00019050288,-0.0008122501,-0.00070262933,-0.0011374797,2.252416e-05,-0.00021027683,-0.0021765516,-0.0012852566,-0.0021938477,-0.0020555765,-0.0011828032,-0.0016536022,-0.0018461528,-0.0022236188,-0.0011685384,-0.0009053482
0.0046965633518993855,0.0008763543,-0.0023818328,-0.0013590659,-0.0024222624,-0.0023114993,-0.0011661318,-0.00193813,-0.002265613,-0.0025308388,-0.0010738852,5.1124218e-05,-0.0018450373,2.9349267e-05,-0.0018075376,-0.0017819104,0.00022233781,-0.0009440633,-0.00081650435,-0.0013233086,2.7046772e-05,-0.0002432511,-0.002534479,-0.0014974815,-0.0025544614,-0.0023933235,-0.0013775784,-0.0019249371,-0.0021491935,-0.0025891145,-0.001361012,-0.0010537431
0.005360057111829519,0.0010022828,-0.0027167504,-0.0015508966,-0.0027627507,-0.0026362548,-0.0013295033,-0.002209331,-0.0025831554,-0.0028862262,-0.001224173,5.9813614e-05,-0.00210361,3.3840333e-05,-0.0020605708,-0.002031365,0.00025419478,-0.0010748776,-0.0009294738,-0.0015080867,3.17839e-05,-0.00027564447,-0.0028910534,-0.0017091514,-0.0029136674,-0.0027297107,-0.0015716946,-0.0021950759,-0.0024509327,-0.0029531792,-0.0015528471,-0.0012014396
0.006021724082529545,0.001128396,-0.0030503608,-0.0017421606,-0.003101882,-0.0029596747,-0.0014920882,-0.0024791453,-0.0028992025,-0.0032401076,-0.0013736973,6.884195e-05,-0.002360961,3.8403534e-05,-0.0023123375,-0.0022795731,0.0002860733,-0.0012047011,-0.0010415437,-0.0016918217,3.6733658e-05,-0.00030746142,-0.0032462839,-0.0019202707,-0.0032714747,-0.0030647495,-0.0017651567,-0.0024640295,-0.0027513793,-0.0033158248,-0.0017440491,-0.0013484429
